eoa,points,rank
0x6Fbe7A00220A5fAb8584DB7A8Ce4566C605fd7a4,2433119,1
0x2f45724d7E384b38D5C97206e78470544304887F,837825,2
0x5fbbfa396a522B38466D0Ee6f65d08375dfb0945,725179,3
0xA24Bd57C4b2AfD9D86FfE8BE623F341dC10a43AB,716202,4
0x077bb80995188850cC1f464B0F1f26A8925AcAEe,704232,5
0xD68C5Ba9e3a5a12BA6dA76BA47Fd4684f44e6952,664213,6
0xA08b3a0FD6D74C17076F40E5bfcCE1eA811a4c6F,481000,7
0xF043AF653c1c770433C7c6f8123ece51d79496F7,365800,8
0x8DF5F3E4a0688595b02768c37F32424365F36f26,359400,9
0xb165aC6BF3A97822EDF69Cf02120A473E8FF2295,298634,10
0x1E27C17432ABfF8E314b421BE50c63a42d3e95E0,205235,11
0x2e7638ABaD4329C154BDF3d33d28dDC56f47136B,183589,12
0x87616fA850c87a78f307878f32D808dad8f4d401,180800,13
0x92f82a6764a0Fa129C64737dc58FF49fA39Ddb20,180102,14
0xea63D23758b58868d040de7b393Bfc01F4A78cec,175150,15
0x00fC79F38bAf0dE21E1fee5AC4648Bc885c1d774,164138,16
0x70FF197c32E922700d3ff2483D250c645979855d,153800,17
0xF408db04DFED406aEE917D28753c68Fc17B68e5a,140546,18
0xe1412eB3a56502C5322EDdF4FD6B63097fe9F08E,133946,19
0x9e77489ca312A218cb316e39E02d7a6a625cB80e,133910,20
0xa489c4087ac990758E19019C3c6AaC93e9946573,129000,21
0xa29A37A950673C500D82AE5686a9f3f1b822585a,124196,22
0x342cD0e754BD5960B7C2bc5325375b567217218a,119597,23
0x008cC239ecC87439ef452e48D2dB9c122b17787f,110428,24
0xc2b5f67dA9F6A57469441F76c2f47982c6684c00,105926,25
0x77dc51Ba83214Bc73Ab8B4DCBFCA60F479288bbB,95981,26
0x9d424b25E8aCb28FA59751D9cb9ce648b82fa0Ea,90600,27
0x22f6EDb55790B0Fe841C5BA9aa30792ebcB55863,79121,28
0x4059E94F431b2C48373c3CF962b257b7A4b1dc63,76900,29
0x70B008530fd6a02cC173CC4334Af4f57EC857026,76714,30
0x859745d5385b35cE4384C0655EF9E4a0ae37f2F6,76650,31
0xa176655E3d10d9eD60735575CaA680Cc9A6F9B98,75350,32
0x147A76cD66dC51b65849E8cd7417A5f80e420EcC,68597,33
0x8E8A10fB84D59275e304b24B302D533C4Ed5D033,65700,34
0x4097441613c21A25Ebb878eE8186d809bC1Ff9B8,58330,35
0x504E1845fC1CF5d8D1998CB66F4B662cce52A75d,57761,36
0x3349A091e9e4F49DA99E69e2B62d82A892796CcD,55218,37
0x67CBD1aEe9576C14049E720bb35Bc18b3386322D,54623,38
0x59bA902861dbEAdB8bcdFd6096292169B3310f15,53622,39
0xCaE4CcfE670F8C2a4999f9dfaF44625110fce9E5,51922,40
0x9cCE06B034183DE27dA91900B5b651588d0dCd2f,48480,41
0x81e3C9dED64CAF37ee5fFd643637E1a97CD64F5f,47769,42
0xa06143992FC739F9A88914a358a7e5CEB369d146,47325,43
0xE5646EF41f05264D700a3B0311d847655EC45B2e,47112,44
0xc6338Aa79bd509432eF450aa40655cBe4e1dcabC,46429,45
0x44145FD759BfC70B9f7A13d14110Ad138456eDa6,46103,46
0x2BEb8405DFDb107D1d1c933F5d75A6966d0b1c6f,45990,47
0xda0809bD7874C3a05270d9271637c9AEf6dfD706,44451,48
0x29b55652131D4DDaAfA13B6222B102B08727e33A,44202,49
0xA7499Aa6464c078EeB940da2fc95C6aCd010c3Cc,43126,50
0x0996aeD0A897826ce5b92c70fA8a2233254cb8D1,40150,51
0x6439f5D99c85A66a3dE6D2ceE73CcC4E2B011aEe,39986,52
0x163eFA916b33903bc32848f8Ed8FE73d982b167d,39749,53
0x736D8679f175Dd3Cf90129be8eB3Bf79CD75b623,39450,54
0x325409632bccFfAc706d378A2Eca57Cafa21ab11,35130,55
0x7372838169895900695e908736A52a443039c5be,34703,56
0xDE9EDb7659FfC872A5661331dbd9b6657227E577,34600,57
0xA315CBB4815d6dCcEc9Fe0C0798e6f1eaC9CB20F,33461,58
0x92a9CCdA32822854A202bcBEE962D8E21451Bf57,31999,59
0x9d8fCFE97Ff0D25545C43115e8F39927Dc7936C6,31551,60
0xB81d7892fa8605a55885592E5c78a294754d272a,30356,61
0x4f49836Fb6a6D264d45CEB9697e2ecDdb821fbdE,30320,62
0x68e22c812C5637E846a2c9c126E94E87989A829e,29779,63
0x60D29680C0b15268694d50544Ba0D3268527C56d,28950,64
0xfA438B23dEfDA1C340c081FbE6dfCfeeF0d83B81,28555,65
0xb5E28DE7FE51003CC8Aac574AE65793c657D6904,27087,66
0xfb06c31c82094758640784DDE1c443d097631AE4,26523,67
0x226AE6cC57d1d98A8b80f7cb841EfF2f43a68c86,26250,68
0xdBb23bC0a753eed82D29618d313Bb4a13e952bE0,25680,69
0x0Eb4d9dc612f691797883414a43CC4D7b5b372B7,25199,70
0x3fE2e08a1F7766606574a91a5CfAf3342d023947,24768,71
0xE5105efA0bd9dE68759f5fE5e3e90cb28ba7ae57,24450,72
0x8bb1b8E1a37cC6c3EcaeDdae046654f73e50B259,23777,73
0x366410fB1bE1d5c620072872d5EAdBbF8765C5e5,23393,74
0x2655689fbe81e37D3BbB79d3450b912A6CCd9F0f,23025,75
0x5Be214147EA1AE3653f289E17fE7Dc17A73AD175,21915,76
0x9DC3E0fC228c2455773E70ee9E987aE2a6FBc07D,21353,77
0x885e7B961fFAA0BDC1B56F9aD032667C8A153AdA,21150,78
0xA4F4406D3dc6482dB1397d0ad260fd223C8F37FC,21075,79
0x70eB07eA4BA7e7C9cCa0C36a798d94fe52bf5aDe,20938,80
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,20839,81
0x4BDFAE7d2A6FC206c5a80f4d41e683a5D5b30D5b,19910,82
0xD0961FfFDF9B74FB1C12a4500ee739df8814453A,19162,83
0x5Dc4f6D286a16DCf35c90eB73B46F637619D842d,18976,84
0x3a1191221d6cF7584fA220378B1d911c5A051f95,18820,85
0x3F888f4E16a08C6B3745dDbaDe98e24569852FA4,18776,86
0x9Db87d302D3442eF6108510AA08F276a82724633,18732,87
