Wallet_20_Address,Address_20_Type,Point,Ranking
0x5374c7627e63f3db024bc436452617a8e4f302fd,EVM,23880,1
0x607fe8ce38097a3e71acbe1fd814bbb0d65c46c3,EVM,21080,2
0x025f8a23d5be041b91fb059091eb143197488056,EVM,19060,3
0xacd54246eda0c5638a247c4717a8782c21497eb6,EVM,17400,4
0x1299a2eb35ae94d127cf9d3ffcbb78bd991eaad7,EVM,8140,5
0x8d3a13a198d6c1628442872678f5474a1b2b59e1,EVM,6830,6
0x353f4bbd7bd4cadfd6a2489129eb7d412f2c3489,EVM,6340,7
0x09c41c93dcaa3c8df4d016b974cf2f11373ea7c7,EVM,5960,8
0x0ed63aaad9f9e4aec77b06858e2ccb1afadc2d34,EVM,5590,9
0xba842f5225e8bb2763fde293b3ed29886938ad38,EVM,5330,10
0x6364a36e7bcbf79d2f70b7525e868321796f9d8a,EVM,5320,11
0xa5a4fe720bff15c744eee54a3b8e566b0f2e8ee1,EVM,5240,12
0xff36b5bc332c1cdf43c2f23588d33caf48ab5123,EVM,4930,13
0xd115edee06578716cb235fc8b51bd652b8237dc2,EVM,4690,14
0x214c437672342c4485ba9d64afc7e790a19c6186,EVM,4620,15
0xd1e03a5d3a96754e60b16c9e52bb9605072040a5,EVM,4320,16
0xfd4d8258f47e89b43889e9957d6a6bdcd33b85bb,EVM,4090,17
0xd32f6c47f928b6e72b9e51161844e43f974c3242,EVM,4070,18
0xe32e266efbf791cc3a93933e61fc39502a58dd95,EVM,4040,19
0x1ee9cf04946bfb5cb945a4c273c2d5292a1c03cc,EVM,3830,20
0x4793f4aeb9ca4743d5e25825b751278a87f7adf9,EVM,3820,21
0xba4a5d1274429df82bdb6338fcb9be3bad857adb,EVM,3740,22
0xad91f6645d262219a33efd0134395dc26bf7c4b8,EVM,3700,23
0x1a3fc012026451f01cdbc487a37612adc7ae7d0e,EVM,3650,24
0x00a4be45e0427e45b1a4683bec1580b4fa68ea97,EVM,3650,24
0x24b4495a5d180954079206dc2e0a7cc328108a33,EVM,3610,26
0xd50e783c34ca39161fabed16baa45b8284466943,EVM,3540,27
0x1666bde1fda5b9277a920bb1ae26004f2518c9c0,EVM,3390,28
0xdbdfed25a515162fc5ccaf9517d2a921ecd9bdde,EVM,3240,29
0x5ea88df165ff7ea54207ba46e253c23bb330a1a7,EVM,3110,30
0xbbd2f4deb40cd2f03aeadeb312c809360e694d0c,EVM,3100,31
0xaa6f2603ac7cc63e16fa001f662023716cc1a767,EVM,3100,31
0xbedb8fb83abc7d05966d7da91872e580464759b4,EVM,2920,33
0x8befc11b2ce8402892172d24d3da242b7486d1a2,EVM,2880,34
0x5ef2cc4726691f9b39183579dc9d0ad3b2e7ca0a,EVM,2820,35
0x94a8a6b01d5144bbc8755956fb9c4cba586e5b4e,EVM,2800,36
0xd5b6442e266a2b082ddc307227a3743cb383fb95,EVM,2660,37
0x02d0c8bb8ba25a2298f58fce77006ede271899e5,EVM,2640,38
0x458521f0b571a3d42ac2a46401964856f4a1be88,EVM,2580,39
0x6773b347cf1beb34e63693494b77604b201c2bcb,EVM,2500,40
0x32785a37726b73b3e9edd38fc31922e6bb58e9ad,EVM,2470,41
0xf72cf3cdc92a2c714eef8c80954e4bb339b19235,EVM,2440,42
0x24ccc59077a80ab571bc782ed6d454593e899e5a,EVM,2420,43
0xc7e28d57b330f9f3617f90fde929da6b6c9fdace,EVM,2370,44
0xce40d8118dec01d06c700ce1ae490d11e622f33b,EVM,2360,45
0x93671a4bd69049877d00604915acb72493c18e86,EVM,2320,46
0x46ef7dd98c81cf722cfac3ac6585853ce035aa4c,EVM,2240,47
0x5bf3817c370d4f02e8720dbf30ea777aeb19f264,EVM,2220,48
0xba033adc435860727567fafdddc03bea40fc3eb1,EVM,2210,49
0xa8464073483ead79730533f48ae417029ffa1963,EVM,2200,50
0xed4d783cb10c4eda73d07c4db16ecc4096abe4bf,EVM,2180,51
0x272034ff890c1cdd59606afc50798459694e1968,EVM,2140,52
0x25f7e265ebd9e5f5fbee5da2a4f0fc8882c4f5f8,EVM,2140,52
0x96aeeba8769619558da28bd29a552d5b06f5bbc1,EVM,2140,52
0x065159cf2b0c3d502f19e48c2a8deffc41a00e3a,EVM,2140,52
0x524a163e38e69fc120415875200922109a62ca05,EVM,2130,56
0x078a0b6d78d6fa119655fe6a1b7c02fc9dc7ff73,EVM,2120,57
0xea37bc580a190cd53d2de42da27f678fc26d95f5,EVM,2070,58
0x623f89a33f16eeb6ee2635f2a25e4728829ad4a6,EVM,2040,59
0xa520f061ef83e815304a313fe094a4949fbe4bd2,EVM,2030,60
0xf3b1974a2c9ab6eb546bc22a31dd68acc29c8628,EVM,2020,61
0xcec3d03378d1036d0f7c4b1fc51fa723e7654364,EVM,1980,62
0xf3c7ccdcf397f323c045c2c513932e8a0a0a4c16,EVM,1900,63
0x04a388766ad092ee64c0c529a3fdbd04ab5c345f,EVM,1870,64
0xe8e2cfb8d39b93a9ec04f5b47f0311fad466acbd,EVM,1820,65
0x3f378a60447350ea39c5941f2f6c8ba980afb735,EVM,1780,66
0xeb6704630b5e9efcc48127d5bfc97248f2ed81d5,EVM,1750,67
0xaf71198fe7fb01f3d60d73cc11996e992d3c4db6,EVM,1750,67
0x38b1f6030b5d8b62005854f9d45f97b8a759928c,EVM,1710,69
0x512f753e1bf0b846de1fcdebceecab1cea603e6d,EVM,1700,70
0x136d54bc4fd247ef03c5c6e419cfef33dff91604,EVM,1700,70
0x595885ce211a0112a4c47dea38f1471ad67e9f42,EVM,1670,72
