eoa,points
0x0147A2D38AcC12B88432F49B9A1dAc86f6793220,100
0x529656620D914443405A55ec42Ad0eAEaF0b4A2c,100
0x88065DF7c416226ED873aF5c4EEC66FE3c1E0eB0,100
0x49526BEabb9b58D07787Ac429DD48a3c12e3ad9C,100
0xda68a8f7dadaed387be410bbd172e8af4ee383a7,100
0x7C817F5E30aa68DB39B6130E7cA247C5C4746084,100
0x8D106c747CD21272D4C9Ff0Af8d53A9C9AcA25d2,100
0x17736ded6d80472e94db70095D87118BfDD682Fd,100
0x070164b2885B4716Ff04bC7bbC5bb86b3eA8d113,100
0x252e3267b0396be97656e5f667286988b4d0f3dd,100
0x0F6809F42975EB4e72Dd1b03BE72B8a9eeC5ADa2,100
0xbf48ae27DB0E8161d52CCa2cEf0bFb51bDf5C7Be,100
0x62beE234b4066af4709DeE5FD3FFCed6782f5C0D,100
0xc2b5f67dA9F6A57469441F76c2f47982c6684c00,100
0xcDEF60555F963729D7AA5363d04E46379a5722bB,100
0x698A00C4546432b2ad17629Ee68b95783800321D,100
0x5fdda7af5c313c29658536abe7ca825e249a9b75,100
0x9E33557b6d2298d6eDa73aD38A6C7D10947b2A7C,100
0xf74E2adF92d884aD9be5C0357A6E3a571e5a03fC,100
0x05b5BBc2A62D4C08C842b7112820bDec352c4F31,100
0x678fDb6D4ead7f228Ab4F58F1628dd62D487d67F,100
0x9255a776c1103e88b4d876c118755cf0939826ee,100
0xE9DadBDcDC8033b34e84fd63129a85F21d3875Ca,100
0x70b2EE03eD78855C612f9cA0BeD658aa740d24C1,300
0xC13ccf23E4e4709E41fC468a8C7e353c69bf94EF,300
0xa16A056E38CCE743d02dcdE487d2fFDfbc9a7637,300
0x31c750fbf0a242c8b186b8017f26a18eb97d93dc,300
0xe1fd653CD5eA03d20D7e78F5Fa0Adb1918F3EcEa,300
0x5f2D7B79D8Cdd86Df4927d379BD29d602B59467C,300
0x2aCEb950108c82dF3fe8DDF543e61822233BDDe0,300
0x79B8BDaEd766B1222494822F235C004355b230D1,300
0xFeb623adaF1821dE8a0689d544c672269D736743,300
0x6730ec36CcdF14D675775F1A16bbb34e79BCF19c,300
0xc5de8C6dbc7BEE4D054C62981D28963c6A783dD9,300
0x1f117e07ca8c0fbfadc07289a721f48ffec9da68,300
0xF07836A5DABBD30b457bC87A632795Fa563da007,300
0xDE9EDb7659FfC872A5661331dbd9b6657227E577,300
0x47F9101283cf65337ef6965f75dFf8C1bad7176d,300
0x7C817F5E30aa68DB39B6130E7cA247C5C4746084,300
0x260f6e73c7075161b21b786e13e64f880c967a33,300
0xd0be4438f263e1c5f3be418a5abe2dc37fe0fe37,300
0x8d23781aAF15fF220555E87BB57B4504D06814C4,300
0x252e3267b0396be97656e5f667286988b4d0f3dd,300
0xcDEF60555F963729D7AA5363d04E46379a5722bB,300
0xF935Fb60eaD7A6B03e805574D8fce63b5F8fC9Da,300
0x5b8B75B157DaA5BB752692dB47C1C3e5a78fE9F2,300
0xd74de0C9eA59307ca8f1BEFFFB6f941947E93Be3,300
0xdc258cd32c189ce25ac494550b489895589c0819,300
0xe12f8e5309682cdea4a3f7160fbb25d0d111d9b7,300
0x6B24Ae36408daD6e1F349e64Fea5BDd41b2639F8,300
0x698A00C4546432b2ad17629Ee68b95783800321D,300
0x49526BEabb9b58D07787Ac429DD48a3c12e3ad9C,300
0x62bee234b4066af4709dee5fd3ffced6782f5c0d,300
0x3AA6605d87f611E43aD0a64740d6BeF9b80FCD2C,300
0x55D24E5b7fa7F09e015C3237B1A98330534CCE94,300
0x349825E811352962BD668277910E1895c41190F6,300
0x88065DF7c416226ED873aF5c4EEC66FE3c1E0eB0,300
0xA0585e4979C1310c52FDA8C6b19817c3c61604D0,300
0x1a450552c74973f69edf036bb26617cfe41c73fb,300
0x39043f5b5ee9df333d0bf544b67c27d8284f69a1,300
0x2f45724d7E384b38D5C97206e78470544304887F,300
0x352777b04aa9f0e75ba30208b393b7e82d3126f4,300
0xd97ca6c9ad7542b4df14c1237b4994eb76f5e5ee,300
0xd3d415CBf39ECb1C071b6b66CC15aAF269852b10,300
0x180080c1F3B901FF901e8C36837aF84e1dCdFcfA,300
0x4B4047f5E21754bCb3cba528C4A044F1875C79Cf,300
0x35d817ea8D99F4dfd85a42C3125b2c76588eD748,300
0xb7b5fccee6c12fcf56025f594d836493702e3c1c,300
0x9a7AeC9fee56e448A52277AfE3E8237F89522F3b,300
0xc7bd8ee14f2fb684c49bc5c0ccf57daab6a2a547,300
0x7f964c696016c7542722298758fbbb24E983B8Eb,300
0x121e7ef1b238758e6f8fbd3fb3f3865d373fd7cd,300
0xD3DEA3Ad56E8bc4196f6b98D308B4B67a6A9f6d4,300
0xa71a84633d95c7b031d3c900549d1bcf759b4be7,300
0x93Ee59B236fD1Af89619B3B420E4F96718EFE1fa,300
0xdac4dabed370d1d0e3edf6e02fdd140080e568fd,300
0x7623c4759b1b4ba96f963a3898d001b93f0d93f3,300
0x678fDb6D4ead7f228Ab4F58F1628dd62D487d67F,300
0xa71a84633d95c7b031d3c900549d1bcf759b4be7,300
0xd5f8c0a39caf157bd81d13dc95769caca4054339,300
0x612d6ac2295eccf280d3fe854356bc9a489e0acd,300
0x140DAAD3f2DdF2CCe32436CA6265c4BBD1ccef92,300
0xdd128741b7c6f40bcab60544cb75bef971a14d6a,300
0x5f4e0b6F3b90e3051b2562BC36d30542b19a5963,300
0x910b5f28fe7c9e31c9deb6813655cae8f336a553,300
0x1703fa252a767a7b67f57d357ef569db151671ee,300
0x974b5e6073c9166fd1ccf5029e20af199856b5d5,300
0x8bf5785f1823b9b281df0e0c89530fba60d286f2,300
0x2e7B05c3De55Ab1533C7d951727965355a7D0685,300
0x952b89bb2ee3577e96a16150f9677ec290cc4e88,300
0xb5351d04a8704bd9b1329647dd31d808be344e28,300
0x17736ded6d80472e94db70095D87118BfDD682Fd,300
0xc8da0c2b229de11eea1a596484fe75a1bb555c31,300
0xf53c753d74270cddd441fdd6079a52b527e0cb4b,300
